k,m,C,score_mean,score_std
3,0,0.1,0.5325,0.0269
3,0,1.0,0.5900,0.0223
3,0,10.0,0.5970,0.0200
3,1,0.1,0.5115,0.0206
3,1,1.0,0.5520,0.0200
3,1,10.0,0.5695,0.0402
3,2,0.1,0.5115,0.0289
3,2,1.0,0.4975,0.0242
3,2,10.0,0.5205,0.0225
5,0,0.1,0.5650,0.0315
5,0,1.0,0.6140,0.0141
5,0,10.0,0.5995,0.0113
5,1,0.1,0.5190,0.0291
5,1,1.0,0.6075,0.0259
5,1,10.0,0.6025,0.0105
5,2,0.1,0.5115,0.0140
5,2,1.0,0.5865,0.0218
5,2,10.0,0.6065,0.0203
7,0,0.1,0.5115,0.0104
7,0,1.0,0.6140,0.0224
7,0,10.0,0.5885,0.0385
7,1,0.1,0.5355,0.0551
7,1,1.0,0.6170,0.0216
7,1,10.0,0.6110,0.0134
7,2,0.1,0.5345,0.0211
7,2,1.0,0.6350,0.0111
7,2,10.0,0.6100,0.0206
8,0,0.1,0.5170,0.0337
8,0,1.0,0.6075,0.0277
8,0,10.0,0.6010,0.0316
8,1,0.1,0.5180,0.0233
8,1,1.0,0.6080,0.0154
8,1,10.0,0.6215,0.0112
8,2,0.1,0.5355,0.0402
8,2,1.0,0.6285,0.0276
8,2,10.0,0.6105,0.0107
k,m,C,score_mean,score_std
k,m,C,score_mean,score_std
k,m,C,score_mean,score_std
9,0,0.1,0.5115,0.0157
9,0,1.0,0.6000,0.0217
9,0,10.0,0.5850,0.0127
