k,m,C,score_mean,score_std
3,0,0.1,0.6040,0.0170
3,0,1.0,0.6365,0.0146
3,0,10.0,0.6300,0.0271
3,1,0.1,0.4785,0.0155
3,1,1.0,0.6115,0.0351
3,1,10.0,0.6230,0.0122
3,2,0.1,0.4840,0.0142
3,2,1.0,0.5030,0.0141
3,2,10.0,0.6055,0.0161
5,0,0.1,0.6655,0.0132
5,0,1.0,0.6860,0.0247
5,0,10.0,0.6695,0.0203
5,1,0.1,0.6320,0.0168
5,1,1.0,0.6870,0.0196
5,1,10.0,0.6875,0.0079
5,2,0.1,0.5060,0.0248
5,2,1.0,0.6660,0.0144
5,2,10.0,0.6640,0.0197
7,0,0.1,0.4810,0.0191
7,0,1.0,0.7330,0.0236
7,0,10.0,0.7275,0.0279
7,1,0.1,0.5495,0.0690
7,1,1.0,0.7430,0.0239
7,1,10.0,0.7345,0.0290
7,2,0.1,0.6565,0.0127
7,2,1.0,0.7185,0.0224
7,2,10.0,0.7125,0.0189
8,0,0.1,0.4880,0.0103
8,0,1.0,0.7315,0.0123
8,0,10.0,0.7420,0.0224
8,1,0.1,0.5255,0.0875
8,1,1.0,0.7665,0.0098
8,1,10.0,0.7510,0.0277
8,2,0.1,0.5850,0.0601
8,2,1.0,0.7450,0.0147
8,2,10.0,0.7345,0.0209
